PseudoTicket,Action,Type,Symbol,Lots,Date,Price
132,OPEN,BUY,EURUSD,1.0,2011-11-14 15:25:38,1.3623000000000001
132,CLOSE,BUY,EURUSD,1.0,2011-11-14 15:51:51,1.3634500000000001
131,CLOSE,BUY,EURUSD,1.0,2011-11-14 16:09:51,1.36408
133,OPEN,SELL,EURUSD,1.0,2011-11-15 08:49:03,1.3570899999999999
133,CLOSE,SELL,EURUSD,1.0,2011-11-15 08:52:40,1.35877
134,OPEN,BUY,EURUSD,1.0,2011-11-16 02:04:30,1.3474999999999999
134,CLOSE,BUY,EURUSD,1.0,2011-11-16 08:21:45,1.349
135,OPEN,SELL,EURUSD,1.0,2011-11-16 08:46:10,1.35318
135,CLOSE,SELL,EURUSD,1.0,2011-11-16 08:51:01,1.35303
136,OPEN,SELL,EURUSD,1.0,2011-11-16 09:12:18,1.3541000000000001
136,CLOSE,SELL,EURUSD,1.0,2011-11-16 09:14:03,1.35364
137,OPEN,BUY,EURUSD,1.0,2011-11-18 02:23:13,1.3482799999999999
137,CLOSE,BUY,EURUSD,1.0,2011-11-18 02:27:41,1.3482700000000001
138,OPEN,SELL,EURUSD,1.0,2011-11-18 05:16:35,1.3469500000000001
138,CLOSE,SELL,EURUSD,1.0,2011-11-18 07:27:18,1.3514299999999999
139,OPEN,SELL,EURUSD,1.0,2011-11-21 07:50:04,1.34893
140,OPEN,SELL,EURUSD,1.0,2011-11-21 07:51:27,1.3492500000000001
140,CLOSE,SELL,EURUSD,1.0,2011-11-21 08:02:14,1.3476900000000001
139,CLOSE,SELL,EURUSD,1.0,2011-11-21 08:02:18,1.3477399999999999
141,OPEN,SELL,EURUSD,1.0,2011-11-22 10:39:01,1.35382
141,CLOSE,SELL,EURUSD,1.0,2011-11-22 10:55:57,1.3535900000000001
142,OPEN,SELL,EURUSD,1.0,2011-11-22 11:02:19,1.35398
142,CLOSE,SELL,EURUSD,1.0,2011-11-22 13:28:30,1.3532500000000001
143,OPEN,SELL,EURUSD,1.0,2011-11-23 10:12:15,1.3421000000000001
143,CLOSE,SELL,EURUSD,1.0,2011-11-23 10:16:04,1.33978
144,OPEN,SELL,EURUSD,1.0,2011-11-23 10:19:28,1.33951
145,OPEN,SELL,EURUSD,1.0,2011-11-23 10:20:55,1.33982
146,OPEN,SELL,EURUSD,1.0,2011-11-23 12:16:42,1.3394200000000001
146,CLOSE,SELL,EURUSD,1.0,2011-11-23 15:02:43,1.3368899999999999
145,CLOSE,SELL,EURUSD,1.0,2011-11-23 15:03:35,1.3366400000000001
144,CLOSE,SELL,EURUSD,1.0,2011-11-23 15:45:17,1.33589
147,OPEN,BUY,EURUSD,1.0,2011-11-24 11:39:03,1.3382400000000001
147,CLOSE,BUY,EURUSD,1.0,2011-11-24 11:47:31,1.3384199999999999
148,OPEN,SELL,EURUSD,1.0,2011-11-25 09:04:41,1.3268800000000001
148,CLOSE,SELL,EURUSD,1.0,2011-11-25 09:10:17,1.3261099999999999
149,OPEN,SELL,EURUSD,1.0,2011-11-27 23:28:55,1.3317600000000001
150,OPEN,SELL,EURUSD,1.0,2011-11-27 23:32:53,1.33222
150,CLOSE,SELL,EURUSD,1.0,2011-11-28 01:06:55,1.3309599999999999
149,CLOSE,SELL,EURUSD,1.0,2011-11-28 01:20:07,1.33168
151,OPEN,SELL,EURUSD,1.0,2011-11-28 02:01:19,1.3315900000000001
151,CLOSE,SELL,EURUSD,1.0,2011-11-28 03:20:34,1.33097
152,OPEN,SELL,EURUSD,1.0,2011-11-28 04:15:44,1.3278000000000001
152,CLOSE,SELL,EURUSD,1.0,2011-11-28 05:53:47,1.3302799999999999
153,OPEN,SELL,EURUSD,1.0,2011-11-29 08:02:11,1.33325
153,CLOSE,SELL,EURUSD,1.0,2011-11-29 08:17:05,1.3330299999999999
154,OPEN,SELL,EURUSD,1.0,2011-11-29 08:40:51,1.33246
