Provider Ticket,Broker Ticket,Type,Currency,Standard Lots,Date Open,Date Close,Price Open,Price Close,Highest Profit (Pips),Worst Drawdown (Pips),Interest ($),Profit (Pips),Profit ($)
400.1334663948054,11528966,SELL,GBP/USD,1,2012/04/20 08:31:30,2012/04/23 07:14:10,1.6115,1.60914,28,-37,-2.42,23.6,233.58
400.1334663964306,11530483,BUY,EUR/USD,1,2012/04/20 08:01:17,2012/04/20 09:23:02,1.31763,1.31566,2,-30,0,-19.7,-197
400.1334663964724,11530695,BUY,EUR/USD,1,2012/04/20 08:04:07,2012/04/20 09:05:50,1.31673,1.31525,11,-19,0,-14.8,-148
400.1334663919635,11524900,BUY,EUR/USD,1,2012/04/20 05:48:38,2012/04/20 06:44:47,1.31651,1.31456,0,-21,0,-19.5,-195
400.1334663302556,11496026,SELL,GBP/USD,1,2012/04/18 22:12:46,2012/04/19 11:35:52,1.60162,1.60151,2,-63,-7.21,1.1,3.79
400.1334663472219,11499775,SELL,GBP/USD,1,2012/04/19 07:08:18,2012/04/19 10:24:11,1.60595,1.60363,24,-19,0,23.2,232
400.1334523717328,11439345,BUY,GBP/USD,1,2012/04/17 06:30:30,2012/04/17 07:07:09,1.5867,1.5885,18,-6,0,18,180
400.1334523533974,11430751,SELL,EUR/USD,1,2012/04/16 20:49:47,2012/04/17 06:31:58,1.31418,1.30987,46,-3,0.13,43.1,431.13
400.1334523115211,11395107,BUY,AUD/USD,1,2012/04/15 23:35:48,2012/04/16 09:50:32,1.03582,1.03514,0,-48,0,-6.8,-68
400.1334523123448,11395920,BUY,AUD/USD,1,2012/04/16 00:00:39,2012/04/16 09:36:25,1.0345,1.03451,3,-35,0,0.1,1
